,brand_name,category_name
0,Gap官方旗艦店,女生衣著
1,BOBSON官方旗艦店,女生衣著
2, SWEAR思薇爾,女生衣著
3,EASY SHOP官方直營,女生衣著
4,Lady內衣官方旗艦店,女生衣著
5,玉如阿姨內衣-旗艦店,女生衣著
6,QUEENSHOP,女生衣著
7,CACO 美式休閒服飾旗艦館,女生衣著
8,101原創 舒適純棉T恤首選,女生衣著
9,WAVE SHINE 美波神器,女生衣著
10,CHERRYKOKO 台灣官方旗艦店,女生衣著
11,SCOTTISH HOUSE,女生衣著
12,OB嚴選❤️️品牌旗艦店,女生衣著
13,DADA SUPREME STORE官方旗艦館,女生衣著
14,betty's貝蒂思,女生衣著
15,★ 莎娜內衣品牌專門店★ 華歌爾★ 黛安芬★ 蕾黛絲★ 資生堂,女生衣著
16,paul frank@TW [官方],女生衣著
17,TOPPY 專櫃服飾,女生衣著
18,MIUSTAR,女生衣著
19,PUFII帕妃,女生衣著
20,東京著衣  唯一官方旗艦館,女生衣著
21,CANTWO,女生衣著
22,糖罐子 Candy Box,女生衣著
23,Space Picnic,女生衣著
24,梨卡24H現貨在台附發票 ★ 泳裝 泳衣 比基尼 潛水衣 水母衣 長袖泳裝 / 罩衫 沙灘裙,女生衣著
25,★ 莎娜內衣品牌專門店★ 華歌爾★ 黛安芬★ 蕾黛絲★ 資生堂,女生衣著
26,LULUS,女生衣著
27,innspo,女生衣著
28,MYDRESS,女生衣著
29,Lady內衣官方直營旗艦店,女生衣著
30,Lee Jeans 牛仔褲,女生衣著
31,Levi's官方旗艦店,女生衣著
32,STAYREAL官方直營,女生衣著
33,STAGE 透明舞台,女生衣著
34,ROUSH美式風格時裝,女生衣著
35,OUTERSPACE官方,女生衣著
36,★ 莎娜內衣品牌專門店★ 華歌爾★ 黛安芬★ 蕾黛絲★ 資生堂,女生衣著
37,Red House 蕾赫斯,女生衣著
38,NuBra 絕世好波 隱形胸罩,女生衣著
39,On Street 專利美胸防擴,女生衣著
40,JOYCE SHOP,女生衣著
41,韓國館旗艦店 流行女裝.大學T.帽T.吊帶裙.長褲.牛仔褲.外套.針織上衣長袖上衣.內搭褲,女生衣著
42,kinlochanderson 金安德森女裝旗艦館,女生衣著
43,gozo,女生衣著
44,beartwo ,女生衣著
45,買到戀愛-BUYLOVE,女生衣著
46,小二布屋,女生衣著
47,basezoo貝思奇 ,女生衣著
48,LAZY MARU品牌直營店,女生衣著
49,PLAYER,女生衣著
50,Blackspade Taiwan,女生衣著
51,DiFF shop 流行女裝館-優質女裝批發價,女生衣著
52,CC.GIRL棉花糖女孩專屬,女生衣著
53,RainbowShop旗艦店,女生衣著
54,EYESCREAM 韓風時尚穿搭,女生衣著
